equipo,No.,Objetivo,Tema,Descripción del proyecto,¿Cuál es el cambio que quieres alcanzar al final del proceso?,¿Por qué es relevante financiar el proyecto en este momento?,FINAL,Comentarios,Equipo,"¿Los objetivos son relevantes para el FRR y para Pulsante, y son posibles de alcanzar?__1"
1,1,EMPODERAR POLITICAMENTE A LAS JUVENTIDES NEGRAS DE MÉXICO PARA OTORGAR HERRAMIENTAS Y ASÍ LOGRAR CONSOLIDAR ESPACIOS DE TOMAS DE DECISIONES EN EL PROCESO ELECTORAL 2021 EN GUERRERO,Elecciones,"CONSOLIDAR UNA AGENDA POLÍTICA DE JUVENTUDES AFROMEXICANAS CON ENFOQUE DE DERECHOS HUMANOS, PARA VISIBILIZAR LOS DESAFÍOS QUE ENCONTRAMOS EN NUESTRO ANDAR AL SER ACTIVISTAS NEGRXS EN MÉXICO.","QUE LAS JUVENTUDES AFROMEXICANAS OBTENGAN ESPACIOS DE TOMA DE DECISIONES, QUEREMOS VER JÓVENES EN LA ADMINISTRACIÓN PÚBLICA COMUNITARIA, MUNICIPAL Y ESTATAL EN EL ESTADO DE GUERRERO. QUE LAS CANDIDATURAS EN 2021 TAMBIÉN LE PERTENEZCAN A LAS VOCES JÓVENES AFROMEXICANAS.","NO EXISTE POLÍTICA PÚBLICA PARA FORTALECER NUESTRAS CAPACIDADES POLÍTICAS NI PARA VISIBILIZAR NUESTRAS PROBLEMÁTICA, LOS TOMADORES DE DECISIONES NUNCA NOS TOMAN EN CUENTA, PENSANDO QUE NUESTRA VIDAS SÓLO ES UN JUEGO, QUE NO EXISTE LA CAPACIDAD ORGANIZATIVA PARA ELLO, ES POR QUE LA INTENCIÓN ES PARTICIPAR DE MANERA ACTIVA EN LAS ELECCIONES PRÓXIMOS ELECTORALES SE ACERCAN AL 2021, ES IMPORTANTE RESALTAR QUE LAS CUOTAS POLÍTICAS PARA PERSONAS AFROMEXICANAS, ES UNA ACCIÓN AFIRMATIVA PARA RESARCIR LA DEUDA HISTÓRICA QUE SE TIENE CON LA POBLACIÓN NEGRA DE MÉXICO, ASÍ EVITAR LA NO REPRESENTACIÓN.",No,No hay una conexion entre las actividades y los objetivos y resultados.,NA,NA
1,2,"Visibilizar a nivel nacional la participación ciudadana de adultos mayores para la organización civica, social y protección de sus derechos",Derechos adultos mayores,Promover los Derechos Humanos de los Adultos mayores,Un reenfoque positivo que valore la participación civica y ciudadana de los adultos mayores en el Ecuador,"Ecuador está sumido en una crisis de valores que nos tiene al borde del colapso.  
 

 Corrupción, violación de Derechos Humanos, restricciones a la libertad de expresión y más, generan conflictos sociales, ingobernabilidad y estado de estres social, creando ambiente para vulnerar Derechos Humanos de los adultos mayores, considerados desechables y una carga para la sociedad.
 

 En febrero 2021 elegiremos presidente y asambleistas, la presencia de los adultos mayores con participación civica efectiva es muy escasa por el voto facultativo y porque los partidos políticos prefieren jóvenes o figuras mediáticas para sus cuadros, discriminando a los más experimentados. Existe oportunidad para retomar la participación ciudadana de adultos mayores enfatizando la protección de su derecho a una vida digna y la participativa efectiva y protagónica en la toma de decisiones que los afectan y a muchas familias que dependen de ellos.
 

 Para los adultos mayores es imposible encontrar trabajo o vivir de pensiones o bonos del gobierno. Participan de menos del 1% de puestos de decisión política y ciudadana, aunque constituyen más del 11% de la población en capacidad de actuar y tomar decisiones.
 

 La mejor defensa de los Derechos Humanos es ser actores y parte de los hacedores de políticas y tomadores de decisiones. Pretendemos formar adultos mayores conscientes de sus derechos y capacidades y una sociedad empoderada en promoverlos y defenderlos.",No,Esta pensando en logica de problema. Esta pensando como movimiento no responde a una oportunidad. Necesita hacer todo el ciclo de trabajo,NA,NA
1,3,"Caracterizar y mapear los procesos comunitarios de autogestión en Villavicencio a traves de los cuales se esta compostando el material orgánico de las comunidades e impulsar sectores que aún no cuentan con los medios para lograrlo y estan teniendo problemas sanitarios por la inadecuada disposición de sus residuos. Con este proyecto buscamos generar un mapa de actores digital que nos permita saber donde se esta compostando, generar articulación y dejar 10 puntos nuevos de compostaje comunitario instalados y con su respectivo proceso de sensibilización y empoderamiento para continuar con agentes replicadores en el territorio.
Este proceso ciudadano busca a su vez incidir en las agendas públicas de la ciudad para que se construya un sistema público de compostaje a traves del cual se aprovechen el 100% de residuos orgánicos de Villavicencio, procedentes de fruvers, plazas, restaurantes, sector domestico y podas del ornato de la ciudad.",Reciclaje ,"Descomponer residuos, componer sociedades.
Son muchos los sectores donde no se tiene la posibilidad de acceder a esta información, sectores donde hay jovenes perdiendose por vicios y falta de oportunidades. Los proceso de compostaje articulan y tejen comunidades, generando nuevas oportunidades","Una plataforma digital consolidada respecto a los procesos de compostaje y posteriormente consumo consciente, 10 puntos nuevos instalados y con wardianes empoderados para su replicación, un proceso de incidencia con la Alcaldia municipal para escalar el proceso a nivel ciudad, partiendo del ejemplo social","Porque a causa de la pandemía son muchas las familias que no cuentan con recursos básicos, si las personas compostan sus residuos además de disminuir la contaminación ambiental, pueden sembrar alimentos para auto consumo o comercialización, además de ser una excelente terapía social en tiempo de aislamiento, para replicar en casa, en cuadra o en un sector más amplio",NA,NA,NA,NA
1,4,"Lograr una Ley Provincial que amplíe el derecho a voto de los ""extranjeros"" a nivel provincial.",Elecciones,Que los Migrantes residentes en la provincia de Neuquén y con DNI argentino tengan derecho a voto en las elecciones de autoridades provinciales.,"Que obtenido el derecho a voto a nivel provincial, todo tipo de autoridad política se interesará por todo lo que pase con los migrantes, como si fuesemos cualquier otro sector de la ciudadanía, cuestión que hoy NO sucede y se nos ignora porque no votamos.",Porque es el momento político oportuno. Contamos con una legislatura provincial con una diversidad de representación que nunca antes había tenido y es favorable para alcanzar la cantidad de votos necesarios para que el proyecto salga adelante. La pandemia por Covid 19 mostrado en toda su crudeza los sectores de población más vulnerables y la necesidad imperiosa de asistirles pero en el caso de los migrantes la exclusión es escandalosa y vergonzosa pero al no gozar de derechos políticos se enrarece y complejiza toda alternativa de solución.,No,No cumple en funcion del tiempo. Hay  wue comenzar de cero no hay un proyecto de ley listo. Objetivo claros pero son de largo aliento . Los montos no coinciden con el proceso.,NA,NA
1,5,Desmonopolizar el empleo en el transporte público del barrio por Bandas Criminales denominadas BACRIM,Transporte público,"Crear una aplicación movil donde los habitanets del barrio pueden solicitar mototaxis (que dejarían de liderar las BACRIM), conocer estado de las vias, acceder a ofertas de empleo local, acceder a educación e información de el sector público y privado, generación de alertas","Generación de 60 plazas de empleo directo a un grupo de habitantes de la comuna 3 manrique, desarticulación estratégica de una fuente de financiación de BACRIM (pues su modelo de negocio quedaría obsoleto)
 la comunidad de un barrio con acceso a la movilidad y a condiciones dignas de empleo, así como acceso a información, verificada y confiable.","Para iniciar el desarrollo de la app, y poder impactar directamente a todos los habitantes de un barrio (mas de 20.000 perosnas) con información local de su interés.
 

 Porque es importantes que las instituciones apoyen a los habitantes de los barrios de Medellín que aun siguen siendo azotados por la violencia, las amenazas constantes que ya no son noticia en los medios y generar estratégicamente formas en que estos actores sociales negativos no sigan financiando su organización criminal mediante el terror donde son sus residentes quienes al no acceder a su servicio, dejan obsoletas a esas formas de empleabilidad y pésimo servicio.",No,"Es un app, no se contempla oportunidad. Ademas seria imposible desarrollar en este tiempo",NA,NA
1,6,"Delialí Combinator es un programa que incubará liderazgos y formará jóvenes, profesores y profesoras en temas relacionados con el pensamiento crítico, expresión de ideas, creación de sociedades de debate y resolución pacífica de los conflictos. Posterior a la formación, llevaremos a los colegios públicos y privados a discutir temas coyunturales en un Campeonato Nacional de debate dentro del programa. Finalmente, mediremos y orientaremos sus aprendizajes a lo largo del programa acompañando a las sociedades de debate nacientes con sus procesos formativos.",Resolución de conflictos,"Es un programa que forma jóvenes en habilidades socioemocionales, debate competitivo y género analiza si estos saberes pueden impactar a las comunidades y los profesores acompañantes de Colombia.",Quiero impactar las cifras relacionadas con clima escolar dentro de las instituciones escolares. Promoviendo mejores tratos dentro de los colegios y mejorando las relaciones interpersonales de los jóvenes y su proyecto de vida.,"La estructura de costos de nuestro proyecto recae en tres objetivos: 1. Desarrollar en estudiantes, profesores y profesoras habilidades de pensamiento crítico, expresión de ideas y resolución pacífica de los conflictos.
 2.Fomentar una cultura basada en la equidad de género y la importancia de las relaciones horizontales dentro de las instituciones educativas.
 3. Propiciar espacios seguros y libres de violencias basadas en el género para la confrontación de ideas.
 Somos un grupo de profesionales y estudiantes de Universidad que dona talleres y su trabajo de manera ad honorem porque creemos en un mejor país y tenemos trayectoria en esta clase de programas. Sin embargo, sabemos que si el programa quiere ser más potente y lograr ser más descentralizado, necesitamos llegar a aquellas regiones donde no llegamos convencionalmente. Es por esto que necesitamos esta financiación para cubrir los costos de las becas que daremos para los jóvenes de regiones que participen y no cuentan con acceso a internet. Pagaremos sus planes de datos durante el programa. Tenemos más de 50 jóvenes pre-inscritos y queremos cubrir esta meta con su ayuda.",No,Es formacion de lideres y capacidades ciudadanas pero no reponde a una coyuntura,NA,NA
1,7,"Apoyar y fortalecer el proceso colectivo liderado por mujeres madres de cabeza de familia y especialmente de la tercera edad, que están asumiendo en la ciudad de Villavicencio el cuidado y la tenencia de animales en condición de abandono. Estos procesos funcionan a través de albergues de ciudadanos particulares, se encuentran ubicados en zonas de estratos 1 y 2 de la ciudad, sus cuidadoras son principalmente mujeres recicladoras que con la actual pandemia se han visto limitadas para trabajar, pero que siguen asumiendo el sostenimiento de sus familias y los animales abandonados. Muchas de ellas tienen discapacidades físicas y no cuentan con los mecanismos para visibilizar sus necesidades y las de los animales que albergan.",Cuidado animal,"El abandono también es una forma de violencia. No solo a los animales de nuestra ciudad, sino a las mujeres que están asumiendo este rol de cuidado que nos corresponde a todos
Esterilización, adopción y educación, son la solución","Lograr que el 100% de los animales de los albergues estén esterilizados, que podamos llegar a las comunidades vulnerables con procesos educativos para evitar la proliferación y el maltrato animal. Que se fortalezcan los procesos de adopción, logrando en su totalidad que el gobierno municipal reconozca un proceso organizado en pro del bienestar animal","Porque las familias que asumen esta responsabilidad no tienen la posibilidad de trabajar, el reciclaje y las ventas ambulantes, son parte de sectores económicos que se reactivaran de forma muy lenta en la ciudad y las necesidades humanas y animales que estos albergues presentan no dan espera, están siendo solventados por organizaciones como la nuestra que gestionamos y articulamos con el sector empresarial, pero que igualmente se están viendo muy limitados. Esa red que hemos creado con empresarios se podría fortalecer con un proceso de visibilizarían que muestre la relevancia del apoyo del sector privado como PADRINOS DEL BIENESTAR ANIMAL y la responsabilidad jurídica del sector público, como un tema de salud ambiental y gestión social",No,Es un tema de abandono de animales. No hay tema de venta de oportunidad no es prioritario.,NA,NA
1,8,"Desarrollar acciones de incidencia pública para el reconocimiento legal de la identidad de género en Chiapas a través de acciones jurídicas de la sociedad civil, campañas en redes sociales y medios de comunicación para poner en la agenda política los derechos de las personas trans.",Identidad de género,"Busca implementar acciones jurídicas para que la identidad de género se reconozca en Chiapas, esto permitirá concluir con el primer informe especial sobre el derecho a la identidad de género en Chiapas",Que las personas trans sean visibles en el discurso público y que se les reconozca su identidad de género a través de un procedimiento acorde a derechos humanos.,"Es relevante ya que las personas trans enfrentan mayor discriminación y tienen menos posibilidades de acceder en igualdad de condiciones a todos los derechos debido a que su identidad de género no coincide con sus documentos legales, esto es así porque en Chiapas el derecho a la identidad de género no se encuentra reconocida y por lo tanto no hay un procedimiento ajustado a los parámetros de derechos humanos para realizar adecuaciones a los documentos de identidad de nacimiento.",No,Estan presentando a un fondo de respuesta rapida un ciclo de proyecto tradicional. No hay una coyuntura especifica,NA,NA
1,9,"Socialización, atencion acompañamiento profesional a la mujer rural en el proceso de empoderamiento y reconocimiento de sus derechos a través de apoyo sicosocial, formativo y de incidencia territorial.",Equidad de género,Atención y formación políticas públicas a la mujer rural para lograr visibilizar su potencial y liderazgo social y comunitario,Tener un lugar de encuentro de formación en los derechos constitucionales y humanos para crear una Asociación campesina familiar que provea desarrollo a su comunidad con proyectos que perduren,La Pandemia cerro puertas de ayuda importantes como un lugar de encuentro de saberes dejando a 59 mujeres sin sustento alimentario y sin reconocimiento del estado. La economía de la nación está en el campo y no hay ayudas para la mujer campesina,NA,NA,NA,NA
1,10,"REPLANT ACTION es una startup que cuenta con un sistema de gestión enfocado a la reforestación y recuperación de áreas, con especies nativas, preferiblemente aquellas protegidas por ley que contribuyan a la conservación del agua y al aumento de la biodiversidad.",Medio ambiente,"reforestación y recuperación de áreas con especies nativas, preferentemente protegidas por ley y que contribuyan a la conservación del agua y al aumento de la biodiversidad.","Ser Humanos hemos causado serios problemas al Planeta Tierra y nos corresponde a nosotros, los ciudadanos, como consumidores de alimentos y derivados de la celulosa, cumplir con nuestra cuota de responsabilidad y revertir los impactos negativos sobre el medio ambiente.","Las políticas públicas destinadas a combatir la deforestación en Brasil y en el mundo han demostrado ser ineficientes y, en ese sentido, es necesaria una mayor participación de la sociedad en la gestión de los recursos hídricos y la reforestación.",NA,NA,NA,NA
